Curso,Cupo,NRC,Sección,Créditos,Periodo,Parte de Periodo,Instructor Principal,Lugar,Ofrecidos,Inscritos,Disponibles,Días,Horas,Salón,Fecha inicio,Fecha fin,Edificio
ADMI-1101 FUNDAMENTOS DE ADMINISTRACION Y GERENCIA (PARA ADMINISTRADORES),Sin cupo,39342,1,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,60,78,-18,M,0800-0920,.ML_617,2025-01-21,2025-05-24,.Edif. Mario Laserna (ML)
ADMI-1101 FUNDAMENTOS DE ADMINISTRACION Y GERENCIA (PARA ADMINISTRADORES),Sin cupo,39342,1,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,60,78,-18,J,0800-0920,.ML_617,2025-01-21,2025-05-24,.Edif. Mario Laserna (ML)
ADMI-1101 FUNDAMENTOS DE ADMINISTRACION Y GERENCIA (PARA ADMINISTRADORES),Sin cupo,39342,1,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,60,78,-18,I,0800-0920,.O_102,2025-01-21,2025-05-24,.Edif. Henry Yerly (O)
ADMI-1101 FUNDAMENTOS DE ADMINISTRACION Y GERENCIA (PARA ADMINISTRADORES),Sin cupo,42986,2,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,60,83,-23,M,0930-1050,.B_402,2025-01-21,2025-05-24,.Bloque B
ADMI-1101 FUNDAMENTOS DE ADMINISTRACION Y GERENCIA (PARA ADMINISTRADORES),Sin cupo,42986,2,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,60,83,-23,J,0930-1050,.B_402,2025-01-21,2025-05-24,.Bloque B
ADMI-1101 FUNDAMENTOS DE ADMINISTRACION Y GERENCIA (PARA ADMINISTRADORES),Sin cupo,42986,2,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,60,83,-23,I,0930-1050,.R_210,2025-01-21,2025-05-24,.Edif. Richard (R)
ADMI-1102 FUNDAMENTOS DE ADMINISTRACION Y GERENCIA (NO ADMINISTRADORES),2,25454,1,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,35,33,2,L,0630-0750,.Q_307,2025-01-21,2025-05-24,.Bloque Q
ADMI-1102 FUNDAMENTOS DE ADMINISTRACION Y GERENCIA (NO ADMINISTRADORES),2,25454,1,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,35,33,2,I,0630-0750,.Q_307,2025-01-21,2025-05-24,.Bloque Q
ADMI-1102 FUNDAMENTOS DE ADMINISTRACION Y GERENCIA (NO ADMINISTRADORES),Sin cupo,11411,2,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,35,40,-5,L,0800-0920,.W_403,2025-01-21,2025-05-24,.Edif. Carlos Pacheco Devia(W)
ADMI-1102 FUNDAMENTOS DE ADMINISTRACION Y GERENCIA (NO ADMINISTRADORES),Sin cupo,11411,2,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,35,40,-5,I,0800-0920,.W_403,2025-01-21,2025-05-24,.Edif. Carlos Pacheco Devia(W)
ADMI-1102 FUNDAMENTOS DE ADMINISTRACION Y GERENCIA (NO ADMINISTRADORES),1,25458,3,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,35,34,1,L,0630-0750,.AU_102,2025-01-21,2025-05-24,.Edif. Aulas
ADMI-1102 FUNDAMENTOS DE ADMINISTRACION Y GERENCIA (NO ADMINISTRADORES),1,25458,3,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,35,34,1,J,0630-0750,.AU_102,2025-01-21,2025-05-24,.Edif. Aulas
ADMI-1102 FUNDAMENTOS DE ADMINISTRACION Y GERENCIA (NO ADMINISTRADORES),Sin cupo,55200,4,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,35,35,0,L,0930-1050,.AU_102,2025-01-21,2025-05-24,.Edif. Aulas
ADMI-1102 FUNDAMENTOS DE ADMINISTRACION Y GERENCIA (NO ADMINISTRADORES),Sin cupo,55200,4,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,35,35,0,I,0930-1050,.AU_102,2025-01-21,2025-05-24,.Edif. Aulas
ADMI-1102 FUNDAMENTOS DE ADMINISTRACION Y GERENCIA (NO ADMINISTRADORES),Sin cupo,75215,5,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,35,38,-3,M,0930-1050,.SD_803,2025-01-21,2025-05-24,.Edif. J.M.Santodomingo (SD)
ADMI-1102 FUNDAMENTOS DE ADMINISTRACION Y GERENCIA (NO ADMINISTRADORES),Sin cupo,75215,5,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,35,38,-3,J,0930-1050,.SD_803,2025-01-21,2025-05-24,.Edif. J.M.Santodomingo (SD)
ADMI-1102 FUNDAMENTOS DE ADMINISTRACION Y GERENCIA (NO ADMINISTRADORES),3,75325,6,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,35,32,3,L,1100-1220,.S1_202,2025-01-21,2025-05-24,.Edif. Enrique Cavelier(S1)
ADMI-1102 FUNDAMENTOS DE ADMINISTRACION Y GERENCIA (NO ADMINISTRADORES),3,75325,6,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,35,32,3,I,1100-1220,.S1_202,2025-01-21,2025-05-24,.Edif. Enrique Cavelier(S1)
ADMI-1190 SERVICIOS ECOSISTÉMICOS,Sin cupo,66703,1,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,45,50,-5,M,0800-0920,.Q_405,2025-01-21,2025-05-24,.Bloque Q
ADMI-1190 SERVICIOS ECOSISTÉMICOS,Sin cupo,66703,1,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,45,50,-5,J,0800-0920,.O_303,2025-01-21,2025-05-24,.Edif. Henry Yerly (O)
ADMI-1190 SERVICIOS ECOSISTÉMICOS,Sin cupo,64012,2,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,45,50,-5,M,0930-1050,.SD_205-6,2025-01-21,2025-05-24,.Edif. J.M.Santodomingo (SD)
ADMI-1190 SERVICIOS ECOSISTÉMICOS,Sin cupo,64012,2,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,45,50,-5,J,0930-1050,.SD_205-6,2025-01-21,2025-05-24,.Edif. J.M.Santodomingo (SD)
ADMI-1190 SERVICIOS ECOSISTÉMICOS,Sin cupo,27847,3,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,45,49,-4,I,0630-0750,.RGD_05,2025-01-21,2025-05-24,.centro cívico
ADMI-1190 SERVICIOS ECOSISTÉMICOS,Sin cupo,27847,3,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,45,49,-4,V,0630-0750,.RGD_05,2025-01-21,2025-05-24,.centro cívico
ADMI-1190 SERVICIOS ECOSISTÉMICOS,Sin cupo,65765,4,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,35,38,-3,M,1400-1520,.RGD_001,2025-01-21,2025-05-24,.centro cívico
ADMI-1190 SERVICIOS ECOSISTÉMICOS,Sin cupo,65765,4,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,35,38,-3,J,1400-1520,.SD_806,2025-01-21,2025-05-24,.Edif. J.M.Santodomingo (SD)
ADMI-1203 FINANZAS 1: PLANEACIÓN FINANCIERA,Sin cupo,10131,1,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,45,47,-2,L,1100-1220,.SD_401,2025-01-21,2025-05-24,.Edif. J.M.Santodomingo (SD)
ADMI-1203 FINANZAS 1: PLANEACIÓN FINANCIERA,Sin cupo,10131,1,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,45,47,-2,I,1100-1220,.SD_401,2025-01-21,2025-05-24,.Edif. J.M.Santodomingo (SD)
ADMI-1203 FINANZAS 1: PLANEACIÓN FINANCIERA,Sin cupo,20816,2,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,45,49,-4,M,1100-1220,.ML_515,2025-01-21,2025-05-24,.Edif. Mario Laserna (ML)
ADMI-1203 FINANZAS 1: PLANEACIÓN FINANCIERA,Sin cupo,20816,2,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,45,49,-4,J,1100-1220,.ML_515,2025-01-21,2025-05-24,.Edif. Mario Laserna (ML)
ADMI-1203 FINANZAS 1: PLANEACIÓN FINANCIERA,Sin cupo,75327,3,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,45,49,-4,L,0930-1050,.SD_402,2025-01-21,2025-05-24,.Edif. J.M.Santodomingo (SD)
ADMI-1203 FINANZAS 1: PLANEACIÓN FINANCIERA,Sin cupo,75327,3,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,45,49,-4,I,0930-1050,.SD_402,2025-01-21,2025-05-24,.Edif. J.M.Santodomingo (SD)
ADMI-1203 FINANZAS 1: PLANEACIÓN FINANCIERA,Sin cupo,75329,4,3,202510,16 SEMANAS,CAMPUS PRINCIPAL,CAMPUS PRINCIPAL,45,47,-2,M,1400-1520,.SD_702,2025-01-21,2025-05-24,.Edif. J.M.Santodomingo (SD)
