Curso,NRC,Edificio,Días,Inscritos,Rango de Horas,Index,_6
DERE-2206 PROPIEDAD Y DERECHOS REALES,20376,AU,I,37,"(6.5, 7.0)",1.0,"(6, 8)"
DERE-2206 PROPIEDAD Y DERECHOS REALES,20376,AU,I,37,"(7.0, 7.5)",1.0,"(6, 8)"
DERE-2206 PROPIEDAD Y DERECHOS REALES,20376,AU,I,37,"(7.5, 8.0)",1.0,"(6, 8)"
ISIS-1404 TI EN LAS ORGANIZACIONES (TIPO E),12125,AU,I,22,"(6.5, 7.0)",2.0,"(6, 8)"
ISIS-1404 TI EN LAS ORGANIZACIONES (TIPO E),12125,AU,I,22,"(7.0, 7.5)",2.0,"(6, 8)"
ISIS-1404 TI EN LAS ORGANIZACIONES (TIPO E),12125,AU,I,22,"(7.5, 8.0)",2.0,"(6, 8)"
ISIS-2503 ARQUITECTURA Y DISEÑO DE SOFTWARE,63026,AU,I,31,"(6.5, 7.0)",3.0,"(6, 8)"
ISIS-2503 ARQUITECTURA Y DISEÑO DE SOFTWARE,63026,AU,I,31,"(7.0, 7.5)",3.0,"(6, 8)"
ISIS-2503 ARQUITECTURA Y DISEÑO DE SOFTWARE,63026,AU,I,31,"(7.5, 8.0)",3.0,"(6, 8)"
LENG-1157 ENGLISH 07 - SPEAKING 1 (CICLO 1 DE 8 SEMANAS),27929,AU,I,21,"(6.5, 7.0)",4.0,"(6, 8)"
LENG-1157 ENGLISH 07 - SPEAKING 1 (CICLO 1 DE 8 SEMANAS),27929,AU,I,21,"(7.0, 7.5)",4.0,"(6, 8)"
LENG-1157 ENGLISH 07 - SPEAKING 1 (CICLO 1 DE 8 SEMANAS),27929,AU,I,21,"(7.5, 8.0)",4.0,"(6, 8)"
LENG-1157 ENGLISH 07 - SPEAKING 1 (CICLO 1 DE 8 SEMANAS),27931,AU,I,19,"(6.5, 7.0)",5.0,"(6, 8)"
