Curso,NRC,Periodo,Edificio,Salón,Días,Horas,Inscritos
ADMI-1101 FUNDAMENTOS DE ADMINISTRACION Y GERENCIA (PARA ADMINISTRADORES),39342,202510,.Edif. Mario Laserna (ML),.ML_617,M,0800-0920,78
ADMI-1101 FUNDAMENTOS DE ADMINISTRACION Y GERENCIA (PARA ADMINISTRADORES),39342,202510,.Edif. Mario Laserna (ML),.ML_617,J,0800-0920,78
ADMI-1101 FUNDAMENTOS DE ADMINISTRACION Y GERENCIA (PARA ADMINISTRADORES),39342,202510,.Edif. Henry Yerly (O),.O_102,I,0800-0920,78
ADMI-1101 FUNDAMENTOS DE ADMINISTRACION Y GERENCIA (PARA ADMINISTRADORES),42986,202510,.Bloque B,.B_402,M,0930-1050,83
ADMI-1101 FUNDAMENTOS DE ADMINISTRACION Y GERENCIA (PARA ADMINISTRADORES),42986,202510,.Bloque B,.B_402,J,0930-1050,83
ADMI-1101 FUNDAMENTOS DE ADMINISTRACION Y GERENCIA (PARA ADMINISTRADORES),42986,202510,.Edif. Richard (R),.R_210,I,0930-1050,83
ADMI-1102 FUNDAMENTOS DE ADMINISTRACION Y GERENCIA (NO ADMINISTRADORES),25454,202510,.Bloque Q,.Q_307,L,0630-0750,33
ADMI-1102 FUNDAMENTOS DE ADMINISTRACION Y GERENCIA (NO ADMINISTRADORES),25454,202510,.Bloque Q,.Q_307,I,0630-0750,33
ADMI-1102 FUNDAMENTOS DE ADMINISTRACION Y GERENCIA (NO ADMINISTRADORES),11411,202510,.Edif. Carlos Pacheco Devia(W),.W_403,L,0800-0920,40
ADMI-1102 FUNDAMENTOS DE ADMINISTRACION Y GERENCIA (NO ADMINISTRADORES),11411,202510,.Edif. Carlos Pacheco Devia(W),.W_403,I,0800-0920,40
ADMI-1102 FUNDAMENTOS DE ADMINISTRACION Y GERENCIA (NO ADMINISTRADORES),25458,202510,.Edif. Aulas,.AU_102,L,0630-0750,34
ADMI-1102 FUNDAMENTOS DE ADMINISTRACION Y GERENCIA (NO ADMINISTRADORES),25458,202510,.Edif. Aulas,.AU_102,J,0630-0750,34
ADMI-1102 FUNDAMENTOS DE ADMINISTRACION Y GERENCIA (NO ADMINISTRADORES),55200,202510,.Edif. Aulas,.AU_102,L,0930-1050,35
ADMI-1102 FUNDAMENTOS DE ADMINISTRACION Y GERENCIA (NO ADMINISTRADORES),55200,202510,.Edif. Aulas,.AU_102,I,0930-1050,35
