fecha,hora,tipo,porteria,numero_entrada
9/9/2024,05:15,entrada,ML,1
9/9/2024,05:15,entrada,Centro deportivo,1
9/9/2024,05:15,entrada,ML,1
9/9/2024,05:15,entrada,Aulas,1
9/9/2024,05:15,entrada,LL,2
9/9/2024,05:15,entrada,Paseo Bolivar,1
9/9/2024,05:15,entrada,LL,2
9/9/2024,05:15,entrada,ML,2
9/9/2024,05:15,entrada,Paseo Bolivar,1
9/9/2024,05:15,entrada,SD,1
9/9/2024,05:15,entrada,SD,1
9/9/2024,05:15,entrada,Centro deportivo,1
9/9/2024,05:15,entrada,Centro deportivo,1
9/9/2024,05:15,entrada,SD,1
9/9/2024,05:15,entrada,Paseo Bolivar,1
9/9/2024,05:15,entrada,Navas,1
9/9/2024,05:15,entrada,Centro deportivo,1
9/9/2024,05:15,entrada,Franco,2
9/9/2024,05:15,entrada,ML,2
9/9/2024,05:15,entrada,Centro deportivo,1
9/9/2024,05:15,entrada,ML,2
9/9/2024,05:15,entrada,Paseo Bolivar,1
9/9/2024,05:15,entrada,ML,2
9/9/2024,05:15,entrada,Centro deportivo,1
9/9/2024,05:15,entrada,Aulas,1
9/9/2024,05:15,entrada,Navas,1
9/9/2024,05:15,entrada,Franco,1
9/9/2024,05:15,entrada,Paseo Bolivar,1
9/9/2024,05:15,entrada,SD,1
9/9/2024,05:15,entrada,Paseo Bolivar,1
9/9/2024,05:15,entrada,Centro deportivo,1
9/9/2024,05:15,entrada,Paseo Bolivar,1
9/9/2024,05:15,entrada,Centro deportivo,1
9/9/2024,05:15,entrada,ML,1
9/9/2024,05:15,entrada,Paseo Bolivar,1
9/9/2024,05:15,entrada,SD,1
9/9/2024,05:15,entrada,Centro deportivo,1
9/9/2024,05:15,entrada,Paseo Bolivar,1
9/9/2024,05:15,entrada,ML,1
9/9/2024,05:15,entrada,Centro deportivo,1
9/9/2024,05:15,entrada,Franco,2
9/9/2024,05:15,entrada,Navas,1
9/9/2024,05:15,entrada,Franco,1
9/9/2024,05:15,entrada,LL,2
9/9/2024,05:15,entrada,Paseo Bolivar,1
9/9/2024,05:15,entrada,Franco,1
9/9/2024,05:15,entrada,Franco,2
9/9/2024,05:15,entrada,Centro deportivo,1
9/9/2024,05:15,entrada,Aulas,1
9/9/2024,05:15,entrada,Franco,1
9/9/2024,05:15,entrada,SD,1
9/9/2024,05:15,entrada,Aulas,1
9/9/2024,05:15,entrada,SD,1
9/9/2024,05:15,entrada,SD,1
9/9/2024,05:15,entrada,Navas,2
9/9/2024,05:15,entrada,Franco,2
9/9/2024,05:15,entrada,Paseo Bolivar,1
9/9/2024,05:15,entrada,Navas,2
9/9/2024,05:15,entrada,Aulas,1
9/9/2024,05:15,entrada,Navas,1
9/9/2024,05:15,entrada,Paseo Bolivar,1
9/9/2024,05:15,entrada,Centro deportivo,1
9/9/2024,05:15,entrada,Franco,2
9/9/2024,05:15,entrada,Centro deportivo,1
9/9/2024,05:15,entrada,Navas,2
9/9/2024,05:15,entrada,Navas,1
9/9/2024,05:15,entrada,Centro deportivo,1
9/9/2024,05:15,entrada,SD,1
9/9/2024,05:15,entrada,LL,2
9/9/2024,05:15,entrada,Centro deportivo,1
9/9/2024,05:15,entrada,ML,1
9/9/2024,05:15,entrada,Paseo Bolivar,1
9/9/2024,05:15,entrada,Aulas,1
9/9/2024,05:15,entrada,LL,1
9/9/2024,05:15,entrada,Centro deportivo,1
9/9/2024,05:15,entrada,ML,2
9/9/2024,05:15,entrada,Aulas,1
9/9/2024,05:15,entrada,Navas,2
9/9/2024,05:15,entrada,SD,1
9/9/2024,05:15,entrada,SD,1
9/9/2024,05:15,entrada,Paseo Bolivar,1
9/9/2024,05:15,entrada,Franco,2
9/9/2024,05:15,entrada,Aulas,1
9/9/2024,05:15,entrada,Franco,1
9/9/2024,05:15,entrada,SD,1
9/9/2024,05:15,entrada,Centro deportivo,1
9/9/2024,05:15,entrada,Aulas,1
9/9/2024,05:15,entrada,LL,2
9/9/2024,05:15,entrada,Navas,2
9/9/2024,05:15,entrada,Franco,1
9/9/2024,05:15,entrada,Navas,1
9/9/2024,05:15,entrada,Franco,1
9/9/2024,05:15,entrada,Centro deportivo,1
9/9/2024,05:15,entrada,ML,2
9/9/2024,05:15,entrada,LL,1
9/9/2024,05:15,entrada,Franco,1
9/9/2024,05:15,entrada,LL,2
9/9/2024,05:15,entrada,Navas,2
9/9/2024,05:15,entrada,Navas,2
9/9/2024,05:15,entrada,ML,2
9/9/2024,05:15,entrada,Paseo Bolivar,1
9/9/2024,05:15,entrada,Paseo Bolivar,1
9/9/2024,05:15,entrada,SD,1
9/9/2024,05:15,entrada,LL,2
9/9/2024,05:15,entrada,Centro deportivo,1
9/9/2024,05:15,entrada,LL,2
9/9/2024,05:15,entrada,Aulas,1
9/9/2024,05:15,entrada,Franco,2
9/9/2024,05:15,entrada,ML,1
9/9/2024,05:15,entrada,Paseo Bolivar,1
9/9/2024,05:15,entrada,Franco,2
9/9/2024,05:15,entrada,Aulas,1
9/9/2024,05:15,entrada,ML,1
9/9/2024,05:15,entrada,Paseo Bolivar,1
9/9/2024,05:15,entrada,Navas,1
9/9/2024,05:15,entrada,Paseo Bolivar,1
9/9/2024,05:15,entrada,Navas,1
9/9/2024,05:15,entrada,ML,1
9/9/2024,05:15,entrada,LL,1
9/9/2024,05:15,entrada,Paseo Bolivar,1
9/9/2024,05:15,entrada,SD,1
9/9/2024,05:15,entrada,Navas,1
9/9/2024,05:15,entrada,ML,2
9/9/2024,05:15,entrada,SD,1
9/9/2024,05:15,entrada,Franco,1
9/9/2024,05:15,entrada,Navas,2
9/9/2024,05:15,entrada,ML,1
9/9/2024,05:15,entrada,Franco,2
9/9/2024,05:15,entrada,ML,2
9/9/2024,05:15,entrada,LL,2
9/9/2024,05:15,entrada,Navas,2
9/9/2024,05:15,entrada,LL,1
9/9/2024,05:15,entrada,SD,1
9/9/2024,05:15,entrada,Franco,2
9/9/2024,05:15,entrada,SD,1
9/9/2024,05:15,entrada,Paseo Bolivar,1
9/9/2024,05:15,entrada,SD,1
9/9/2024,05:15,entrada,Aulas,1
9/9/2024,05:15,entrada,LL,2
9/9/2024,05:15,entrada,Franco,2
9/9/2024,05:15,entrada,Franco,2
9/9/2024,05:15,entrada,Centro deportivo,1
9/9/2024,05:15,entrada,LL,2
9/9/2024,05:15,entrada,Paseo Bolivar,1
9/9/2024,05:15,entrada,Navas,1
9/9/2024,05:15,entrada,ML,2
9/9/2024,05:15,entrada,LL,1
9/9/2024,05:15,entrada,LL,1
9/9/2024,05:15,entrada,SD,1
9/9/2024,05:15,entrada,Navas,1
9/9/2024,05:15,entrada,ML,2
9/9/2024,05:15,entrada,Franco,2
9/9/2024,05:15,entrada,LL,1
9/9/2024,05:15,entrada,SD,1
9/9/2024,05:15,entrada,LL,1
9/9/2024,05:15,entrada,Paseo Bolivar,1
9/9/2024,05:15,entrada,SD,1
9/9/2024,05:15,entrada,Franco,2
9/9/2024,05:15,entrada,LL,2
9/9/2024,05:15,entrada,Paseo Bolivar,1
9/9/2024,05:15,entrada,Navas,1
9/9/2024,05:15,entrada,SD,1
9/9/2024,05:15,entrada,Centro deportivo,1
9/9/2024,05:15,entrada,SD,1
9/9/2024,05:15,entrada,LL,1
9/9/2024,05:15,entrada,LL,1
9/9/2024,05:15,entrada,Franco,2
9/9/2024,05:15,entrada,SD,1
9/9/2024,05:15,entrada,Aulas,1
9/9/2024,05:15,entrada,Aulas,1
9/9/2024,05:15,entrada,LL,2
9/9/2024,05:15,entrada,Aulas,1
9/9/2024,05:15,entrada,Aulas,1
9/9/2024,05:15,entrada,SD,1
9/9/2024,05:15,entrada,Navas,1
9/9/2024,05:15,entrada,Aulas,1
9/9/2024,05:15,entrada,LL,2
9/9/2024,05:15,entrada,ML,2
9/9/2024,05:15,entrada,Paseo Bolivar,1
9/9/2024,05:15,entrada,Paseo Bolivar,1
9/9/2024,05:15,entrada,Centro deportivo,1
9/9/2024,05:15,entrada,SD,1
9/9/2024,05:15,entrada,Paseo Bolivar,1
9/9/2024,05:15,entrada,Centro deportivo,1
9/9/2024,05:15,entrada,Paseo Bolivar,1
9/9/2024,05:15,entrada,Paseo Bolivar,1
9/9/2024,05:15,entrada,Navas,2
9/9/2024,05:15,entrada,SD,1
9/9/2024,05:15,entrada,Franco,1
9/9/2024,05:15,entrada,Navas,1
9/9/2024,05:15,entrada,Franco,1
9/9/2024,05:15,entrada,Centro deportivo,1
9/9/2024,05:15,entrada,Franco,2
9/9/2024,05:15,entrada,Franco,2
9/9/2024,05:15,entrada,Navas,2
9/9/2024,05:15,entrada,Paseo Bolivar,1
9/9/2024,05:15,entrada,ML,1
9/9/2024,05:15,entrada,Navas,1
9/9/2024,05:15,entrada,Centro deportivo,1
9/9/2024,05:15,entrada,Navas,1
9/9/2024,05:15,entrada,ML,2
9/9/2024,05:15,entrada,ML,2
9/9/2024,05:15,entrada,LL,1
9/9/2024,05:15,entrada,Centro deportivo,1
9/9/2024,05:15,entrada,SD,1
9/9/2024,05:15,entrada,Aulas,1
9/9/2024,05:15,entrada,Navas,1
9/9/2024,05:15,entrada,Navas,2
9/9/2024,05:15,entrada,LL,2
9/9/2024,05:15,entrada,SD,1
9/9/2024,05:15,entrada,Paseo Bolivar,1
9/9/2024,05:15,entrada,Centro deportivo,1
9/9/2024,05:15,entrada,Centro deportivo,1
9/9/2024,05:15,entrada,Navas,2
9/9/2024,05:15,entrada,Paseo Bolivar,1
9/9/2024,05:15,entrada,SD,1
9/9/2024,05:15,entrada,Franco,1
9/9/2024,05:15,entrada,Franco,2
9/9/2024,05:15,entrada,Navas,1
9/9/2024,05:15,entrada,ML,1
9/9/2024,05:15,entrada,Aulas,1
9/9/2024,05:15,entrada,SD,1
9/9/2024,05:15,entrada,LL,1
9/9/2024,05:15,entrada,SD,1
9/9/2024,05:15,entrada,Aulas,1
9/9/2024,05:15,entrada,Aulas,1
9/9/2024,05:15,entrada,Navas,1
9/9/2024,05:15,entrada,Centro deportivo,1
9/9/2024,05:15,entrada,ML,1
9/9/2024,05:15,entrada,Franco,2
9/9/2024,05:15,entrada,Paseo Bolivar,1
9/9/2024,05:15,entrada,Franco,2
9/9/2024,05:15,entrada,SD,1
9/9/2024,05:15,entrada,Centro deportivo,1
9/9/2024,05:15,entrada,Navas,2
9/9/2024,05:15,entrada,Franco,2
9/9/2024,05:15,entrada,Centro deportivo,1
9/9/2024,05:15,entrada,Aulas,1
9/9/2024,05:15,entrada,Franco,2
