Course Code,Course Name,Cupo,NRC,Sección,Créditos,Periodo,Parte de Periodo,Campus,Schedule Table,Cupos Ofrecidos,Cupos Inscritos,Cupos Disponibles
ADMI-1101,FUNDAMENTOS DE ADMINISTRACION Y GERENCIA (PARA ADMINISTRADORES),Sin cupo,39342,01,3,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'L', 'Hora': '0800-0920', 'Salón': '.O_103', 'Fecha Inicio': '2024-08-05', 'Fecha Fin': '2024-08-16', 'Edificio': '.Edif. Henry Yerly (O)'}, {'Día': 'I', 'Hora': 'V', 'Salón': '0800-0920', 'Fecha Inicio': '.O_103', 'Fecha Fin': '2024-08-05', 'Edificio': '2024-11-30 .Edif. Henry Yerly (O)'}, {'Día': 'L', 'Hora': '0800-0920', 'Salón': '.B_202', 'Fecha Inicio': '2024-08-19', 'Fecha Fin': '2024-11-30', 'Edificio': '.Bloque B'}]",70,81,-11
ADMI-1101,FUNDAMENTOS DE ADMINISTRACION Y GERENCIA (PARA ADMINISTRADORES),Sin cupo,42986,02,3,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'L', 'Hora': '0930-1050', 'Salón': '.Q_405', 'Fecha Inicio': '2024-08-05', 'Fecha Fin': '2024-09-23', 'Edificio': '.Bloque Q'}, {'Día': 'I', 'Hora': 'V', 'Salón': '0930-1050', 'Fecha Inicio': '.O_103', 'Fecha Fin': '2024-08-05', 'Edificio': '2024-11-30 .Edif. Henry Yerly (O)'}, {'Día': 'L', 'Hora': '0930-1050', 'Salón': '.O_103', 'Fecha Inicio': '2024-10-07', 'Fecha Fin': '2024-11-30', 'Edificio': '.Edif. Henry Yerly (O)'}]",70,86,-16
ADMI-1101,FUNDAMENTOS DE ADMINISTRACION Y GERENCIA (PARA ADMINISTRADORES),Sin cupo,72305,03,3,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'L', 'Hora': 'I', 'Salón': 'V', 'Fecha Inicio': '1400-1520', 'Fecha Fin': '.W_101', 'Edificio': '2024-08-05 2024-11-30 .Edif. Carlos Pacheco Devia(W)'}]",70,80,-10
ADMI-1102,FUNDAMENTOS DE ADMINISTRACION Y GERENCIA (NO ADMINISTRADORES),Sin cupo,25454,01,3,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'L', 'Hora': 'I', 'Salón': '0630-0750', 'Fecha Inicio': '.RGD_206-7', 'Fecha Fin': '2024-08-05', 'Edificio': '2024-11-30 .centro cívico'}]",32,47,-15
ADMI-1102,FUNDAMENTOS DE ADMINISTRACION Y GERENCIA (NO ADMINISTRADORES),Sin cupo,11411,02,3,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'L', 'Hora': '0800-0920', 'Salón': '.O_203', 'Fecha Inicio': '2024-08-05', 'Fecha Fin': '2024-09-02', 'Edificio': '.Edif. Henry Yerly (O)'}, {'Día': 'I', 'Hora': '0800-0920', 'Salón': '.O_203', 'Fecha Inicio': '2024-08-05', 'Fecha Fin': '2024-08-28', 'Edificio': '.Edif. Henry Yerly (O)'}, {'Día': 'I', 'Hora': '0800-0920', 'Salón': '.ML_515', 'Fecha Inicio': '2024-09-04', 'Fecha Fin': '2024-09-25', 'Edificio': '.Edif. Mario Laserna (ML)'}, {'Día': 'L', 'Hora': '0800-0920', 'Salón': '.ML_606', 'Fecha Inicio': '2024-09-09', 'Fecha Fin': '2024-11-30', 'Edificio': '.Edif. Mario Laserna (ML)'}, {'Día': 'I', 'Hora': '0800-0920', 'Salón': '.RGD_112-13', 'Fecha Inicio': '2024-10-09', 'Fecha Fin': '2024-11-30', 'Edificio': '.centro cívico'}]",32,47,-15
ADMI-1102,FUNDAMENTOS DE ADMINISTRACION Y GERENCIA (NO ADMINISTRADORES),Sin cupo,25458,03,3,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'L', 'Hora': 'J', 'Salón': '0630-0750', 'Fecha Inicio': '.ML_614', 'Fecha Fin': '2024-08-05', 'Edificio': '2024-11-30 .Edif. Mario Laserna (ML)'}]",32,41,-9
ADMI-1102,FUNDAMENTOS DE ADMINISTRACION Y GERENCIA (NO ADMINISTRADORES),Sin cupo,55200,04,3,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'L', 'Hora': 'I', 'Salón': '0930-1050', 'Fecha Inicio': '.AU_102', 'Fecha Fin': '2024-08-05', 'Edificio': '2024-11-30 .Edif. Aulas'}]",32,37,-5
ADMI-1190,SERVICIOS ECOSISTÉMICOS,6,66703,01,3,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'M', 'Hora': 'J', 'Salón': '0800-0920', 'Fecha Inicio': '.O_405', 'Fecha Fin': '2024-08-05', 'Edificio': '2024-08-12 .Edif. Henry Yerly (O)'}, {'Día': 'J', 'Hora': '0800-0920', 'Salón': '.G_101', 'Fecha Inicio': '2024-08-15', 'Fecha Fin': '2024-11-30', 'Edificio': '.Edif. Roberto Franco (G)'}, {'Día': 'M', 'Hora': '0800-0920', 'Salón': '.O_202', 'Fecha Inicio': '2024-08-20', 'Fecha Fin': '2024-09-03', 'Edificio': '.Edif. Henry Yerly (O)'}, {'Día': 'M', 'Hora': '0800-0920', 'Salón': '.ML_604', 'Fecha Inicio': '2024-09-10', 'Fecha Fin': '2024-11-30', 'Edificio': '.Edif. Mario Laserna (ML)'}]",52,46,6
ADMI-1190,SERVICIOS ECOSISTÉMICOS,Sin cupo,64012,02,3,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'M', 'Hora': 'J', 'Salón': '0930-1050', 'Fecha Inicio': '.SD_205-6', 'Fecha Fin': '2024-08-05', 'Edificio': '2024-11-30 .Edif. J.M.Santodomingo (SD)'}]",40,50,-10
ADMI-1190,SERVICIOS ECOSISTÉMICOS,Sin cupo,27847,03,3,202420,PERIODO 202420 - 16 SEMANAS,CAMPUS PRINCIPAL,"[{'Día': 'M', 'Hora': 'J', 'Salón': '1700-1820', 'Fecha Inicio': '.ML_617', 'Fecha Fin': '2024-08-05', 'Edificio': '2024-11-30 .Edif. Mario Laserna (ML)'}]",40,46,-6
